fixture_id,date,league,home_team,away_team,score,v4_p_H,v4_p_D,v4_p_A,v4_decision,actual_outcome,v4_correct,is_actual_draw,draw_risk_score,draw_risk_tier,draw_risk_label,draw_risk_badge,draw_risk_flagged,draw_risk_reason
420581351,2026-08-22,Ligue 1,Olympique Marseille,Strasbourg,4-0,0.509,0.232,0.259,H,H,True,False,0.2081,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 23.8%); Low baseline draw exposure (26.9%)
420581362,2026-08-22,Premier League,Arsenal,Coventry City,3-0,0.62,0.184,0.196,H,H,True,False,0.065,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 40.6%); Low baseline draw exposure (21.8%)
420581363,2026-08-22,La Liga,Real Betis,Real Sociedad,1-0,0.543,0.222,0.236,H,H,True,False,0.177,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 29.2%); Low baseline draw exposure (25.8%)
420581845,2026-08-22,Premier League,Hull City,Manchester United,2-0,0.342,0.262,0.396,A,H,False,False,0.6765,HIGH,High draw vulnerability,🟠 HIGH,True,Elevated calibrated draw probability (30.0%); Near-parity Home/Away win margin (|H-A| = 5.1%); Supporting score-space draw mass (28.0%); Balanced team ratings (Elo gap = 40)
420582048,2026-08-22,Premier League,Nottingham Forest,Leeds United,0-1,0.454,0.245,0.301,H,A,False,False,0.4093,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (28.3%); Moderate favorite separation (|H-A| = 14.5%)
420582049,2026-08-22,Premier League,Ipswich Town,Sunderland,2-1,0.316,0.271,0.413,A,H,False,False,0.5673,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (30.9%); Moderate favorite separation (|H-A| = 9.2%)
420582050,2026-08-22,Premier League,Everton,Crystal Palace,2-0,0.44,0.258,0.303,H,H,True,False,0.4708,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (29.6%); Moderate favorite separation (|H-A| = 13.0%)
420582189,2026-08-22,La Liga,Athletic Club,Sevilla,1-3,0.455,0.252,0.293,H,A,False,False,0.4177,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (29.0%); Moderate favorite separation (|H-A| = 15.4%)
420582220,2026-08-22,Ligue 1,Lens,Auxerre,5-2,0.61,0.195,0.195,H,H,True,False,0.0946,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 39.7%); Low baseline draw exposure (23.0%)
420582255,2026-08-22,Serie A,Inter,Monza,4-1,0.789,0.108,0.103,H,H,True,False,0.065,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 66.6%); Low baseline draw exposure (13.5%)
420582256,2026-08-22,Premier League,Brentford,Tottenham Hotspur,3-0,0.422,0.243,0.335,H,H,True,False,0.4973,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (28.0%); Moderate favorite separation (|H-A| = 8.3%)
420582254,2026-08-22,Serie A,Udinese,Como,1-1,0.292,0.275,0.432,A,D,False,True,0.5187,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (31.4%); Moderate favorite separation (|H-A| = 13.3%)
420582269,2026-08-22,La Liga,Valencia,Celta de Vigo,0-0,0.464,0.264,0.272,H,D,False,True,0.4112,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (30.2%); Moderate favorite separation (|H-A| = 18.2%)
420582305,2026-08-23,Ligue 1,Nice,Lorient,0-0,0.393,0.265,0.341,H,D,False,True,0.689,HIGH,High draw vulnerability,🟠 HIGH,True,Elevated calibrated draw probability (30.3%); Near-parity Home/Away win margin (|H-A| = 4.9%); Supporting score-space draw mass (28.0%); Balanced team ratings (Elo gap = 40)
420582304,2026-08-23,Ligue 1,Toulouse,Olympique Lyonnais,0-2,0.338,0.267,0.395,A,A,True,False,0.6872,HIGH,High draw vulnerability,🟠 HIGH,True,Elevated calibrated draw probability (30.5%); Near-parity Home/Away win margin (|H-A| = 5.4%); Supporting score-space draw mass (28.0%); Balanced team ratings (Elo gap = 40)
420582303,2026-08-23,Ligue 1,Troyes,Paris,0-0,0.226,0.233,0.541,A,D,False,True,0.2111,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 30.0%); Low baseline draw exposure (27.0%)
420582302,2026-08-23,Serie A,Genoa,Napoli,0-2,0.277,0.263,0.46,A,A,True,False,0.421,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (30.1%); Moderate favorite separation (|H-A| = 17.4%)
420582301,2026-08-23,Serie A,Parma,Cagliari,0-1,0.353,0.274,0.373,A,A,True,False,0.7606,HIGH,High draw vulnerability,🟠 HIGH,True,Elevated calibrated draw probability (31.2%); Near-parity Home/Away win margin (|H-A| = 1.9%); Supporting score-space draw mass (28.0%); Balanced team ratings (Elo gap = 40)
420582306,2026-08-23,Ligue 1,Le Mans,Brest,2-2,0.458,0.26,0.281,H,D,False,True,0.421,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (29.8%); Moderate favorite separation (|H-A| = 16.8%)
420582312,2026-08-23,La Liga,Espanyol,Real Madrid,1-2,0.255,0.226,0.518,A,A,True,False,0.1906,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 25.1%); Low baseline draw exposure (26.3%)
420583619,2026-08-23,Ligue 1,Angers SCO,LOSC Lille,0-2,0.222,0.245,0.533,A,A,True,False,0.3274,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 29.6%); Low baseline draw exposure (28.3%)
420583623,2026-08-23,Premier League,Brighton & Hove Albion,Aston Villa,4-0,0.481,0.244,0.275,H,H,True,False,0.3307,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 19.6%); Low baseline draw exposure (28.1%)
420583622,2026-08-23,Premier League,Manchester City,AFC Bournemouth,2-1,0.607,0.192,0.201,H,H,True,False,0.0853,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 38.8%); Low baseline draw exposure (22.7%)
420583743,2026-08-23,La Liga,Atlético de Madrid,Villarreal,2-2,0.402,0.249,0.348,H,D,False,True,0.6382,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (28.7%); Moderate favorite separation (|H-A| = 5.1%)
420583751,2026-08-23,Ligue 1,Le Havre,Monaco,0-1,0.33,0.265,0.404,A,A,True,False,0.5827,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (30.3%); Moderate favorite separation (|H-A| = 7.0%)
420583753,2026-08-23,Premier League,Newcastle United,Liverpool,2-2,0.353,0.263,0.384,A,D,False,True,0.7122,HIGH,High draw vulnerability,🟠 HIGH,True,Elevated calibrated draw probability (30.1%); Near-parity Home/Away win margin (|H-A| = 2.9%); Supporting score-space draw mass (28.0%); Balanced team ratings (Elo gap = 40)
420583777,2026-08-23,Serie A,Venezia,Lecce,0-2,0.4,0.284,0.316,H,A,False,False,0.6244,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (32.2%); Moderate favorite separation (|H-A| = 7.9%)
420583778,2026-08-23,Serie A,Frosinone,Juventus,0-1,0.284,0.248,0.467,A,A,True,False,0.3761,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 17.4%); Low baseline draw exposure (28.6%)
420583789,2026-08-23,La Liga,Getafe,Racing Santander,1-0,0.389,0.277,0.334,H,H,True,False,0.7198,HIGH,High draw vulnerability,🟠 HIGH,True,Elevated calibrated draw probability (31.5%); Near-parity Home/Away win margin (|H-A| = 5.2%); Supporting score-space draw mass (28.0%); Balanced team ratings (Elo gap = 40)
420583814,2026-08-24,Ligue 1,Rennes,Paris Saint Germain,2-2,0.343,0.245,0.412,A,D,False,True,0.529,MEDIUM,Moderate draw vulnerability,🟡 MEDIUM,False,Moderate draw probability (28.3%); Moderate favorite separation (|H-A| = 6.6%)
420583813,2026-08-24,Serie A,Atalanta,Sassuolo,2-1,0.554,0.214,0.232,H,H,True,False,0.1532,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 30.7%); Low baseline draw exposure (25.0%)
420583812,2026-08-24,Serie A,Torino,AC Milan,1-2,0.361,0.272,0.367,A,A,True,False,0.7746,HIGH,High draw vulnerability,🟠 HIGH,True,Elevated calibrated draw probability (31.0%); Near-parity Home/Away win margin (|H-A| = 0.6%); Supporting score-space draw mass (28.0%); Balanced team ratings (Elo gap = 40)
420583819,2026-08-24,La Liga,Elche,FC Barcelona,0-5,0.248,0.216,0.536,A,A,True,False,0.1593,LOW,Low draw vulnerability,🟢 LOW,False,Decisive favorite separation (|H-A| = 27.5%); Low baseline draw exposure (25.2%)
